Feature1, Feature2, Correlation, P-Value
num_success,Supplementary-Angles,-0.006076958941457456, 0.8545860673690093
num_success,Surface-Area-and-Volume,0.004442957637334081, 0.8934096736622813
num_success,Symbolization-Articulation,-0.08852015829901276, 0.0074765760702722
num_success,Transformations/Rotations,0.026210632711369405, 0.42918095651288934
num_success,Transversals,-0.017425262883893004, 0.5992011927705791
num_success,Triangle-Inequality,0.0369309388344867, 0.26521896926995814
num_success,Unit-Conversion,-0.08811737822450813, 0.007753545779352439
num_success,Venn-Diagram,-0.036122527766417396, 0.27582947447404316
num_failed,tot_time_spent,0.5966391762455484, 4.959716844007875e-89
num_failed,num students,0.6621626976604832, 3.708025633086464e-116
num_failed,average time to solve,0.13752497046262405, 3.082520489583567e-05
num_failed,num_success,0.1477190939275848, 7.481916490356195e-06
num_failed,question_length,0.154140566985961, 2.9176390195955823e-06
num_failed,person_name_count,0.060016869033840285, 0.07004536959544763
num_failed,conjunction_phrase_count,0.03399875875457805, 0.30506679530252645
num_failed,preposition_phrase_count,0.10752600616128301, 0.0011451791484165309
num_failed,math_symbols_count,-0.045027737075554, 0.17426322403949965
num_failed,success_rate,-0.6608342164932342, 1.5400299713845441e-115
num_failed,Adding-Decimals,-0.0061525331709086535, 0.852798169334529
num_failed,Addition,-0.01811015227881913, 0.5849220619313213
num_failed,Algebraic-Manipulation,-0.0019755285916445535, 0.9524918272562725
num_failed,Area,0.20039417732815784, 1.0247485298844264e-09
num_failed,Area-Concept,-0.0021335952795327427, 0.9486956272031424
num_failed,Area-of-Circle,0.053890660937122, 0.10386199550920848
num_failed,Circle-Graph,-0.04275708410464639, 0.19703166704801656
num_failed,Circumference,-0.022461332804664537, 0.4981061833010949
num_failed,Combinatorics,0.03679258448303471, 0.26701469519850307
num_failed,Comparing-Fractions,-0.009486427308650139, 0.774803558819208
num_failed,Compounding_Interest,0.001197750200580014, 0.971185345305875
num_failed,Congruence,0.04084202246766534, 0.21786519559186587
num_failed,Conversion-of-fractions-decimals-percents,-0.020707254468221414, 0.5322633664683406
num_failed,Discount,0.08276298285567207, 0.012410573098091314
